U,I_1,I_2,I_3,I_4,I_5
0,0,0,0,0,0
10,47,40,32,21,11
20,110,92,68,38,16
30,177,142,94,46,18
40,244,180,107,49,19
50,303,203,112,51,20
60,348,215,115,52,20
70,375,222,117,53,20
80,391,226,119,53,20
90,402,229,120,54,21
100,407,232,121,54,21
110,412,233,122,54,21
120,417,235,123,55,21
130,420,237,124,55,21
140,423,238,124,55,21
150,425,240,125,55,21
160,427,241,125,56,21
170,429,242,126,56,21
180,431,243,126,56,22
190,433,244,127,56,22
200,434,244,127,57,22
210,436,245,128,57,22
220,437,246,128,57,22
230,438,247,128,57,22
240,439,247,129,57,22
250,440,248,129,58,22
